month,region,sst_mean,salinity_mean
2020-01,Swatch_of_No_Ground,23.91847097300566,29.7389571626599
2020-02,Swatch_of_No_Ground,23.886525136347,28.831657527301175
2020-03,Swatch_of_No_Ground,26.707336879120422,30.45332504149813
2020-04,Swatch_of_No_Ground,29.049524490649883,32.374465211222955
2020-05,Swatch_of_No_Ground,29.698263488709927,32.1066457276734
2020-06,Swatch_of_No_Ground,29.86268782730286,29.52333215552454
2020-07,Swatch_of_No_Ground,30.11735305075462,25.70937925304931
2020-08,Swatch_of_No_Ground,29.630615691152904,18.499107512000663
2020-09,Swatch_of_No_Ground,30.08565136217154,16.059309186843727
2020-10,Swatch_of_No_Ground,29.87374961318878,16.89739440782712
2020-11,Swatch_of_No_Ground,27.503334727997963,18.356257412009516
2020-12,Swatch_of_No_Ground,24.186939953038326,24.32986437343061
2021-01,Swatch_of_No_Ground,24.217533584970695,28.419892407523896
2021-02,Swatch_of_No_Ground,25.009756528987335,28.752622413090787
2021-03,Swatch_of_No_Ground,27.378631403239872,29.283487972301934
2021-04,Swatch_of_No_Ground,29.036678545750103,31.205488920498354
2021-05,Swatch_of_No_Ground,30.13859393333013,32.26616362897823
2021-06,Swatch_of_No_Ground,29.91487917361351,29.621930416816703
2021-07,Swatch_of_No_Ground,29.652645359818752,24.082703573199417
2021-08,Swatch_of_No_Ground,29.661415909918453,19.829166755796624
2021-09,Swatch_of_No_Ground,29.646072142399273,15.31274036790889
2021-10,Swatch_of_No_Ground,29.51173435896635,16.50084941647947
2021-11,Swatch_of_No_Ground,26.988032043553314,19.801739223587973
2021-12,Swatch_of_No_Ground,24.955611998072037,25.2149793999986
2022-01,Swatch_of_No_Ground,24.078707233071327,28.62561846223588
2022-02,Swatch_of_No_Ground,24.58223446802451,29.897301275139817
2022-03,Swatch_of_No_Ground,27.131102815843544,28.89429872425703
2022-04,Swatch_of_No_Ground,28.67372426046775,31.39059541818614
2022-05,Swatch_of_No_Ground,30.195405312455616,30.381684796884656
2022-06,Swatch_of_No_Ground,30.270565358492043,29.71638129092753
2022-07,Swatch_of_No_Ground,29.845390875179035,22.676778445020318
2022-08,Swatch_of_No_Ground,29.89046436605545,16.930260494924507
2022-09,Swatch_of_No_Ground,29.859664147289898,15.003916528075933
2022-10,Swatch_of_No_Ground,29.57098721884764,18.216498289257288
2022-11,Swatch_of_No_Ground,26.831364101515366,22.038785092389354
2022-12,Swatch_of_No_Ground,25.259388545957897,24.70735485952061
2023-01,Swatch_of_No_Ground,24.56236457079649,28.37384075929339
2023-02,Swatch_of_No_Ground,25.242316961288452,28.15712021592145
2023-03,Swatch_of_No_Ground,27.38683853470362,29.241857595311906
2023-04,Swatch_of_No_Ground,29.805350590783817,31.13560935912224
2023-05,Swatch_of_No_Ground,30.3680367825123,31.755565490143802
2023-06,Swatch_of_No_Ground,30.672470652140102,29.711686135627904
2023-07,Swatch_of_No_Ground,29.88473627658991,22.153738144641885
2023-08,Swatch_of_No_Ground,29.75710317492485,19.430000302740016
2023-09,Swatch_of_No_Ground,30.164191920023697,14.81161079226205
2023-10,Swatch_of_No_Ground,29.57958874335656,14.746622017656382
2023-11,Swatch_of_No_Ground,27.44686140005405,20.98949613551108
2023-12,Swatch_of_No_Ground,24.580525431495445,22.268260807658617
2024-01,Swatch_of_No_Ground,23.933795959903645,28.29241894113903
